time,month,CRPS_3
2011_1,1,20.01860799999998
2011_2,2,28.22915199999995
2011_3,3,65.92142400000002
2011_4,4,334.40528
2011_5,5,559.3833120000002
2011_6,6,692.4295999999997
2011_7,7,482.783632
2011_8,8,45.311008
2011_9,9,32.604991999999946
2011_10,10,12.733168
2011_11,11,66.45524799999998
2011_12,12,83.22168000000005
2012_1,1,53.488879999999995
2012_2,2,13.044096000000007
2012_3,3,14.566960000000048
2012_4,4,56.26671999999992
2012_5,5,61.37407999999999
2012_6,6,178.72998399999994
2012_7,7,193.61780800000025
2012_8,8,66.37441600000014
2012_9,9,35.23158399999998
2012_10,10,14.84401600000001
2012_11,11,12.439232000000008
2012_12,12,9.609296000000036
2013_1,1,24.416880000000035
2013_2,2,50.064032000000026
2013_3,3,19.100240000000085
2013_4,4,18.7408959999999
2013_5,5,101.69379199999999
2013_6,6,65.34814399999999
2013_7,7,79.64939199999999
2013_8,8,46.578767999999954
2013_9,9,27.243599999999986
2013_10,10,49.75932800000001
2013_11,11,20.553040000000003
2013_12,12,38.67327999999996
2014_1,1,79.40166399999995
2014_2,2,81.45476800000006
2014_3,3,99.94139199999996
2014_4,4,83.45944000000003
2014_5,5,134.70705599999997
2014_6,6,62.04123199999982
2014_7,7,47.80993600000005
2014_8,8,38.344256000000065
2014_9,9,37.212527999999956
2014_10,10,27.46894399999999
2014_11,11,46.78728000000001
2014_12,12,49.90574399999997
2015_1,1,84.568176
2015_2,2,71.11009600000001
2015_3,3,89.07089599999998
2015_4,4,130.99787199999992
2015_5,5,107.83600000000011
2015_6,6,190.36724799999996
2015_7,7,97.53267199999986
2015_8,8,115.79119999999992
2015_9,9,24.957968000000008
2015_10,10,13.052336000000007
2015_11,11,42.13123200000003
2015_12,12,48.346335999999994
2016_1,1,80.66361599999998
2016_2,2,26.760592000000013
2016_3,3,81.86142399999994
2016_4,4,100.1465280000001
2016_5,5,37.98403199999993
2016_6,6,39.86126400000006
2016_7,7,53.64596799999998
2016_8,8,74.19963199999992
2016_9,9,24.983951999999988
2016_10,10,13.02966399999994
2016_11,11,11.261616000000032
2016_12,12,22.182159999999996
2017_1,1,62.03018454440602
2017_2,2,52.88712418300648
2017_3,3,85.97807766243756
2017_4,4,109.11327950788169
2017_5,5,57.84564398308356
2017_6,6,120.79542483660128
2017_7,7,60.05545174932708
2017_8,8,78.9771088043059
2017_9,9,52.745444059976954
2017_10,10,61.05879277201069
2017_11,11,48.9069127258746
2017_12,12,39.6161130334487
2018_1,1,19.199134948096848
2018_2,2,28.06976931949252
2018_3,3,73.83437908496724
2018_4,4,35.8127950788157
2018_5,5,39.53451749327155
2018_6,6,79.86230680507525
2018_7,7,159.80034986543654
2018_8,8,212.26550941945413
2018_9,9,57.18467128027681
2018_10,10,20.933706266820522
2018_11,11,22.79693194925031
2018_12,12,58.120353710111495
2019_1,1,66.15514033064207
2019_2,2,90.70526336024602
2019_3,3,96.31949250288342
2019_4,4,90.97105344098412
2019_5,5,93.83204152249135
2019_6,6,124.11226066897343
2019_7,7,43.487089580930316
2019_8,8,38.88395617070364
2019_9,9,24.518354479046522
2019_10,10,80.26065743944633
2019_11,11,11.46896193771622
2019_12,12,11.378946559015759
2020_1,1,48.09236831987697
2020_2,2,102.8658708189158
2020_3,3,90.86824682814319
2020_4,4,48.60222222222219
2020_5,5,32.86649750096113
2020_6,6,203.24560553633214
2020_7,7,396.66238754325263
2020_8,8,143.93773933102648
2020_9,9,42.34603229527107
2020_10,10,42.23499807766245
2020_11,11,46.496197616301444
2020_12,12,85.82021914648209
