time,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,mean,obs
2011_1,6.97,22.12,7.03,14.11,20.119999999999997,9.9,6.46,16.22,10.59,7.76,14.33,7.300000000000001,20.39,13.17,29.769999999999996,16.89,6.4,8.19,7.5,13.24,10.43,7.8,6.38,17.37,7.57,,,,,,,,,,,,,,,,,,,,,,,,,,,12.299999999999999,2.58
2011_2,38.129999999999995,57.550000000000004,25.28,20.689999999999998,26.56,34.57,25.9,80.79,30.04,14.98,56.75,37.47,53.01,27.72,20.39,47.77,27.759999999999998,45.08,36.46,43.84,78.0,15.790000000000001,25.47,27.72,17.45,,,,,,,,,,,,,,,,,,,,,,,,,,,36.64,49.55
2011_3,73.28999999999999,31.41,59.67,34.16,49.5,62.71,42.76,13.35,28.9,44.47,39.52,53.03,40.519999999999996,51.64,40.62,107.47,26.66,17.12,42.67,89.14999999999999,50.47,52.42,50.24,10.8,157.73,,,,,,,,,,,,,,,,,,,,,,,,,,,50.83,32.68
2011_4,72.18,30.16,160.77,166.81,116.36,51.099999999999994,45.5,48.05,76.52,52.730000000000004,25.009999999999998,60.55,91.23,69.53,8.68,26.889999999999997,65.48,46.690000000000005,84.85,63.19,48.839999999999996,65.0,44.49,100.56,92.85,,,,,,,,,,,,,,,,,,,,,,,,,,,68.54,168.95999999999998
2011_5,70.89999999999999,59.410000000000004,48.5,49.51,51.42,20.41,66.52,39.96,63.24,86.28999999999999,94.66,42.56,47.32,28.87,11.870000000000001,51.9,41.89,44.82,47.6,52.8,41.35,52.23,68.46000000000001,61.48,43.97,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5,129.72
2011_6,193.16,84.31,100.08000000000001,190.8,48.339999999999996,127.71000000000001,160.87,105.37,240.82,219.75,433.23,94.39999999999999,206.97,122.86,88.58,94.22,86.44,180.99,222.3,136.08,115.4,63.870000000000005,99.42,159.36,116.92,,,,,,,,,,,,,,,,,,,,,,,,,,,147.69,408.86
2011_7,210.49,162.62,113.51,138.92,197.66,259.04,233.79,122.85,136.44,216.94,103.3,212.84,100.03999999999999,158.51,160.69,143.34,131.28,262.68,100.37,163.59,270.68,393.43,206.29,152.34,223.51,,,,,,,,,,,,,,,,,,,,,,,,,,,183.0,563.78
2011_8,290.7,225.07999999999998,304.43,140.92,306.95,295.31,365.7,361.55,226.17,250.47,135.11,343.05,296.09999999999997,365.95,149.64,280.26,233.01999999999998,182.43,256.87,193.96,223.77,517.38,132.32,441.65000000000003,276.35,,,,,,,,,,,,,,,,,,,,,,,,,,,271.82,266.21
2011_9,339.43,177.35999999999999,195.87,197.31,216.37,135.15,124.29,37.99,211.99,212.69,162.2,347.0,86.10000000000001,109.96,188.91,166.6,274.65000000000003,98.81,139.56,258.56,122.38999999999999,150.37,201.69,212.13,125.46,,,,,,,,,,,,,,,,,,,,,,,,,,,179.72,138.18
2011_10,33.26,19.42,22.959999999999997,80.48,39.97,39.5,21.7,9.84,10.23,20.89,14.99,104.00999999999999,29.549999999999997,43.379999999999995,85.83,25.14,52.78,28.459999999999997,25.490000000000002,24.259999999999998,11.290000000000001,41.599999999999994,30.42,10.219999999999999,22.319999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9,49.57
2011_11,49.03,59.01,48.55,82.62,88.32,44.53,104.42,155.09,84.84,99.77,113.61,74.61,63.650000000000006,75.42999999999999,92.95,63.74,63.63,60.300000000000004,74.88,59.57,116.41,33.8,48.97,87.91,40.58,,,,,,,,,,,,,,,,,,,,,,,,,,,75.45,56.16
2011_12,11.58,8.92,8.66,14.15,17.59,26.02,12.26,11.41,22.73,5.48,15.530000000000001,18.7,14.05,15.83,11.09,7.42,23.34,19.18,15.520000000000001,35.02,18.8,15.25,19.92,16.09,35.089999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,16.77,18.229999999999997
2012_1,8.49,13.79,27.439999999999998,13.65,8.4,16.060000000000002,14.73,19.63,19.23,21.8,5.05,7.57,11.36,37.08,6.45,10.4,20.37,8.24,19.26,15.99,12.61,20.06,17.95,9.97,18.63,,,,,,,,,,,,,,,,,,,,,,,,,,,15.39,10.3
2012_2,64.76,5.699999999999999,17.580000000000002,11.0,23.87,14.61,9.65,5.52,5.58,10.67,7.32,8.55,58.44,41.089999999999996,16.05,57.38,31.02,22.53,37.339999999999996,17.24,12.41,26.18,51.879999999999995,13.96,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,23.36,2.7800000000000002
2012_3,38.83,43.56,48.45,44.73,73.84,29.89,76.60000000000001,51.02,47.16,58.15,88.02,52.28,29.62,88.58,73.07000000000001,59.63,79.08,34.72,63.769999999999996,31.86,54.5,43.44,66.77,50.34,56.31,,,,,,,,,,,,,,,,,,,,,,,,,,,55.37,65.53
2012_4,44.79,75.39999999999999,109.89999999999999,132.01,126.44,57.23,50.73,130.99,75.42,91.06,103.4,51.839999999999996,72.87,69.14,129.49,50.22,74.49,116.44,60.010000000000005,69.97,88.59,64.06,103.73,272.28000000000003,62.01,,,,,,,,,,,,,,,,,,,,,,,,,,,91.31,113.33
2012_5,80.93,65.82,34.77,30.23,49.92,55.81,77.99000000000001,95.42999999999999,49.87,63.230000000000004,50.02,78.03,58.379999999999995,29.73,46.94,33.55,82.86999999999999,12.9,55.81,57.75,35.739999999999995,36.61,128.15,7.25,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,54.76,50.580000000000005
2012_6,61.25,105.74000000000001,75.23,68.72,119.17,107.86000000000001,149.84,244.69,145.66,216.21,75.97,108.74000000000001,92.16,126.05000000000001,153.47,89.53999999999999,211.43,127.95,35.66,105.23,73.08,171.0,121.16,309.29,167.3,,,,,,,,,,,,,,,,,,,,,,,,,,,130.5,80.59
2012_7,326.84,177.61,340.77,387.8,445.45,284.35,596.75,178.29,397.13,191.93999999999997,267.12,113.06,647.6,67.59,285.75,126.58,167.78,379.75,249.18,619.88,162.54999999999998,355.02,382.09999999999997,241.27,123.74000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,300.65,325.37
2012_8,182.57,212.37,289.24,681.87,217.12,186.9,246.29,286.97,163.04999999999998,280.91,303.49,284.26,364.72,193.98,163.23,244.32999999999998,310.08000000000004,225.25,54.01,155.17000000000002,287.23,159.23,295.2,315.68,434.03000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,261.51,325.09999999999997
2012_9,72.19,166.1,48.72,69.63,100.95,227.77,96.44,107.98,109.01,81.22,248.82999999999998,255.64999999999998,129.45,135.85999999999999,99.85,110.46,98.88000000000001,128.69,250.97,175.94,82.74,87.17,337.87,125.45,182.06,,,,,,,,,,,,,,,,,,,,,,,,,,,141.18,163.06
2012_10,12.620000000000001,18.28,40.65,27.78,53.43,27.38,18.94,27.05,43.57,34.28,24.99,43.3,17.61,22.96,137.62,16.84,8.540000000000001,64.82,30.300000000000004,24.15,35.96,15.889999999999999,43.9,50.76,23.23,,,,,,,,,,,,,,,,,,,,,,,,,,,34.589999999999996,51.85
2012_11,56.68,63.73,38.33,36.76,48.32,62.95,107.39,67.59,40.529999999999994,30.369999999999997,56.87,64.06,51.49,51.2,35.78,53.68,107.33,28.08,24.87,37.59,27.509999999999998,64.94,58.370000000000005,44.0,69.79,,,,,,,,,,,,,,,,,,,,,,,,,,,53.12,47.92
2012_12,17.46,12.629999999999999,26.990000000000002,7.39,5.38,13.88,15.67,26.27,8.48,17.21,23.98,10.75,10.18,23.970000000000002,22.43,9.82,25.599999999999998,31.35,11.790000000000001,14.31,7.32,14.66,31.91,11.95,7.569999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,16.36,49.21
2013_1,16.69,7.76,13.24,4.3,12.73,20.490000000000002,6.88,17.7,24.97,16.77,24.71,17.259999999999998,16.34,21.509999999999998,12.030000000000001,22.85,9.82,22.43,15.76,15.139999999999999,12.84,6.73,23.36,9.11,5.68,,,,,,,,,,,,,,,,,,,,,,,,,,,15.09,28.4
2013_2,49.96,36.260000000000005,36.1,45.71,35.26,42.83,49.55,23.88,53.75,35.76,43.85,47.07,56.300000000000004,19.95,77.72,41.730000000000004,42.79,31.75,62.11,30.36,34.68,41.91,29.509999999999998,27.040000000000003,46.52,,,,,,,,,,,,,,,,,,,,,,,,,,,41.69,43.87
2013_3,64.78,48.14,94.82000000000001,3.71,42.51,45.73,53.0,86.84,20.060000000000002,55.59,32.83,61.04,33.12,20.169999999999998,57.79,38.23,21.48,35.5,8.8,72.73,61.599999999999994,87.52,32.6,43.04,20.64,,,,,,,,,,,,,,,,,,,,,,,,,,,45.68,47.23
2013_4,51.65,46.870000000000005,36.01,46.779999999999994,56.39,80.51,101.50999999999999,84.27,73.76,72.02,56.989999999999995,53.199999999999996,134.81,151.69,72.5,64.39,92.07,56.75,45.98,45.18,68.32000000000001,50.79,71.51,40.35,49.74,,,,,,,,,,,,,,,,,,,,,,,,,,,68.18,71.83
2013_5,126.74,42.93,70.48,23.79,43.730000000000004,139.04,88.27,39.68,87.46,153.31,83.99,86.67,148.32,83.68,88.34,79.76,38.04,58.42,62.05,75.63,118.38999999999999,64.53,49.52,63.42,93.06,,,,,,,,,,,,,,,,,,,,,,,,,,,80.35,95.05000000000001
2013_6,234.58,318.54,272.14,117.78999999999999,138.51999999999998,159.15,96.15,67.68,221.06,197.73000000000002,236.28,102.66,236.49,176.94,179.57,356.67,110.83,129.10999999999999,99.78999999999999,244.24,208.39000000000001,174.35999999999999,155.87,127.58,210.91,,,,,,,,,,,,,,,,,,,,,,,,,,,182.92,120.31
2013_7,376.46000000000004,444.06,478.51,344.05,391.15,246.78,411.49,372.94,250.51,192.42,600.1,346.07,419.06,388.29,389.41,268.28000000000003,595.0699999999999,382.01,384.52,295.88,553.55,520.13,510.43,203.34,231.62,,,,,,,,,,,,,,,,,,,,,,,,,,,383.86,446.4
