time,month,CRPS_6
2011_1,1,264.5984799999999
2011_2,2,568.7875520000002
2011_3,3,643.6321599999999
2011_4,4,702.1576959999999
2011_5,5,666.1804
2011_6,6,621.8529440000001
2011_7,7,462.5428000000004
2011_8,8,31.356112000000067
2011_9,9,84.25606399999994
2011_10,10,83.96545600000006
2011_11,11,87.40636799999996
2011_12,12,79.55552000000006
2012_1,1,136.96374400000002
2012_2,2,35.59451200000001
2012_3,3,86.07396799999998
2012_4,4,118.74068799999988
2012_5,5,204.90955200000005
2012_6,6,161.5036480000002
2012_7,7,164.72992000000016
2012_8,8,60.46531200000001
2012_9,9,28.79107199999995
2012_10,10,29.30788799999999
2012_11,11,66.42688000000011
2012_12,12,24.604512000000014
2013_1,1,42.488719999999816
2013_2,2,54.23929600000021
2013_3,3,78.24470399999977
2013_4,4,56.3552160000002
2013_5,5,58.45078399999997
2013_6,6,58.965024000000014
2013_7,7,55.752128000000056
2013_8,8,89.94368000000011
2013_9,9,28.13355199999997
2013_10,10,155.29643200000004
2013_11,11,113.38950400000002
2013_12,12,167.28951999999995
2014_1,1,232.31159999999986
2014_2,2,306.5091520000002
2014_3,3,181.6131519999999
2014_4,4,60.09281599999994
2014_5,5,50.6503679999999
2014_6,6,73.7330719999998
2014_7,7,43.96516799999995
2014_8,8,24.04380799999999
2014_9,9,31.937584000000108
2014_10,10,52.18479999999996
2014_11,11,152.81643200000016
2014_12,12,172.69504
2015_1,1,220.08241599999997
2015_2,2,243.96683199999984
2015_3,3,175.10675200000014
2015_4,4,341.8180639999999
2015_5,5,302.0411040000003
2015_6,6,218.29795200000004
2015_7,7,92.29833600000009
2015_8,8,149.43100799999988
2015_9,9,107.09164799999995
2015_10,10,79.64508799999993
2015_11,11,110.41676800000003
2015_12,12,116.84427199999979
2016_1,1,139.573008
2016_2,2,32.85212800000002
2016_3,3,86.18302400000022
2016_4,4,72.08014400000016
2016_5,5,55.0569439999998
2016_6,6,59.20060799999983
2016_7,7,55.90847999999997
2016_8,8,102.10507199999988
2016_9,9,37.056751999999996
2016_10,10,80.51576000000017
2016_11,11,81.68510400000007
2016_12,12,151.36281599999998
2017_1,1,191.185321030373
2017_2,2,35.94043829296406
2017_3,3,48.053640907343535
2017_4,4,56.70209534794276
2017_5,5,40.79597078046862
2017_6,6,51.03723952325994
2017_7,7,41.652226066897754
2017_8,8,126.44798154555927
2017_9,9,122.4315494040754
2017_10,10,117.1749058054593
2017_11,11,46.64229142637444
2017_12,12,40.95321414840449
2018_1,1,29.519354094579015
2018_2,2,50.081576316801105
2018_3,3,117.38281814686681
2018_4,4,160.14586312956587
2018_5,5,169.7356439830831
2018_6,6,137.9672010765089
2018_7,7,192.8747058823528
2018_8,8,160.31052287581696
2018_9,9,28.539723183391132
2018_10,10,49.822264513648534
2018_11,11,95.9578200692043
2018_12,12,179.55141099577082
2019_1,1,200.14800076893482
2019_2,2,258.37776239907737
2019_3,3,252.8801307189545
2019_4,4,162.29798539023477
2019_5,5,79.37934640522857
2019_6,6,81.71054209919247
2019_7,7,44.19194156093822
2019_8,8,39.08771626297613
2019_9,9,32.044467512495245
2019_10,10,120.31948096885802
2019_11,11,100.35149173394842
2019_12,12,76.70910419069577
2020_1,1,142.3682006920414
2020_2,2,86.20575547866193
2020_3,3,122.61016147635543
2020_4,4,228.10726643598662
2020_5,5,222.07808919646328
2020_6,6,214.8581199538641
2020_7,7,301.75219530949624
2020_8,8,87.1521299500191
2020_9,9,133.10770088427537
2020_10,10,223.58660130718948
2020_11,11,241.10032295271048
2020_12,12,321.98921953094964
