time,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,mean,obs
2011_1,155.32,215.48000000000002,86.81,167.4,198.61,188.31,185.33999999999997,211.14,91.71000000000001,195.13,114.15,231.10999999999999,183.82,121.13000000000001,139.76,145.89,76.05000000000001,136.38,161.48000000000002,139.11,168.57,142.44,79.11,187.15,123.95,,,,,,,,,,,,,,,,,,,,,,,,,,,153.84,253.76999999999998
2011_2,274.37,292.29,304.81,190.10999999999999,165.84,286.59,210.73,263.42,261.70000000000005,179.96,207.56,236.39999999999998,278.27,296.84000000000003,150.76,226.87,102.00999999999999,229.77999999999997,416.34000000000003,312.0,250.57999999999998,214.91000000000003,225.5,221.63,210.54000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,240.42000000000002,380.90999999999997
2011_3,266.7,368.88,493.1,418.72999999999996,346.78,497.51,275.16999999999996,351.73,158.11,257.87,273.53,374.88,445.50000000000006,355.47,225.34000000000003,411.05,300.48,239.43,548.7,411.28,330.14,452.15,261.9,389.56,486.78999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,357.66999999999996,740.22
2011_4,487.18000000000006,554.4100000000001,998.08,775.71,513.04,796.5799999999999,518.6800000000001,1017.06,352.60999999999996,484.90999999999997,494.5,800.88,713.48,494.22,453.51,395.85,474.34000000000003,567.98,468.06999999999994,628.04,474.5,544.5899999999999,709.64,492.66,519.34,,,,,,,,,,,,,,,,,,,,,,,,,,,589.2,1271.32
2011_5,628.28,476.8,874.21,704.1800000000001,565.51,850.55,742.94,463.14,708.36,989.02,608.72,694.9100000000001,1260.82,299.25,694.46,647.29,504.28999999999996,557.02,308.92,670.5,710.31,733.9300000000001,860.63,968.8199999999999,1008.1099999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,701.27,1368.5700000000002
2011_6,457.98,504.44000000000005,640.2900000000001,527.62,934.16,824.4100000000001,704.16,765.1899999999999,985.3299999999999,865.53,1081.5,1109.6899999999998,945.96,788.5999999999999,688.22,930.72,925.98,900.1,1366.26,738.46,903.59,678.25,617.05,735.59,666.23,,,,,,,,,,,,,,,,,,,,,,,,,,,811.43,1377.03
2011_7,607.45,443.64,831.74,685.2800000000001,567.74,396.32,735.8199999999999,543.06,774.27,506.0,455.95,740.9200000000001,490.15,687.96,379.34000000000003,421.15999999999997,550.29,742.3699999999999,608.9000000000001,579.09,593.25,946.4799999999999,397.5299999999999,554.24,824.6,,,,,,,,,,,,,,,,,,,,,,,,,,,602.5199999999999,1017.7400000000001
2011_8,639.02,596.8199999999998,605.76,495.84000000000003,484.08000000000004,496.14000000000004,552.58,562.33,489.18000000000006,449.47,405.88000000000005,522.34,675.37,568.78,315.72999999999996,551.28,459.9699999999999,534.41,354.79,531.52,367.46999999999997,728.15,321.66999999999996,589.0300000000001,535.1400000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,513.35,510.12
2011_9,443.3,307.45,349.76,350.28000000000003,354.29,260.65000000000003,231.86,153.62,399.6,329.98999999999995,261.60999999999996,496.67,144.76000000000002,246.44,369.84,367.13,357.93000000000006,199.93,211.36,523.14,254.76,213.81,413.67,359.75999999999993,228.65,,,,,,,,,,,,,,,,,,,,,,,,,,,313.19,262.14
2011_10,93.82,106.69,111.48,151.26,161.42,127.53999999999999,100.36,90.25999999999999,103.30000000000001,117.6,83.35,225.5,90.36,96.01,226.84,124.22,127.38000000000001,72.24,141.27,159.51999999999998,152.14,88.92999999999999,119.88000000000001,136.29,77.58,,,,,,,,,,,,,,,,,,,,,,,,,,,123.38999999999999,134.26
