time,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,mean,obs
2011_1,228.2,286.27000000000004,175.68,229.10000000000002,275.91,218.93,333.10999999999996,282.2,202.74,313.93,259.52,417.88,259.7,189.31,221.31,204.32,144.52,211.39999999999998,186.01000000000002,198.74,183.63,226.12,193.37,294.07,212.65,,,,,,,,,,,,,,,,,,,,,,,,,,,237.96,383.49
2011_2,354.19,662.04,407.39,412.9,296.8,433.9,431.03,424.44000000000005,447.66,311.72,373.54999999999995,507.58,350.53999999999996,460.36,208.06,302.56,231.29,378.59999999999997,598.6600000000001,382.09000000000003,454.38,385.33000000000004,538.1600000000001,406.57,387.76,,,,,,,,,,,,,,,,,,,,,,,,,,,405.94000000000005,789.77
2011_3,549.5699999999999,662.38,883.11,631.98,607.49,664.21,869.15,711.8199999999999,414.08000000000004,558.97,417.12,628.42,1024.68,587.51,420.87,614.78,690.01,460.19,904.4300000000001,752.48,666.04,645.48,423.08,881.87,737.6299999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,656.31,1304.0
2011_4,794.8800000000001,837.94,1394.06,1112.85,622.37,1112.94,657.0300000000001,1221.75,742.06,846.72,851.87,1199.22,787.11,590.1600000000001,683.23,551.95,756.2,823.28,708.6499999999999,857.64,758.22,753.77,902.04,718.11,839.4000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,844.9300000000001,1537.53
2011_5,1094.2,760.3299999999999,1102.79,883.57,592.97,886.4699999999999,867.9200000000001,595.78,873.48,1240.46,728.22,816.83,1332.9299999999998,439.59000000000003,799.87,685.8,696.03,750.47,522.36,1034.71,999.28,824.0100000000001,891.24,1061.6599999999999,1067.26,,,,,,,,,,,,,,,,,,,,,,,,,,,861.9399999999999,1506.7500000000002
2011_6,510.32000000000005,530.95,673.4100000000001,632.52,988.26,928.98,731.03,828.8199999999999,1004.2299999999999,910.13,1150.79,1135.57,973.7900000000001,824.04,777.89,947.97,1022.0,937.98,1414.03,894.6400000000001,994.03,769.01,741.0899999999999,783.2,776.52,,,,,,,,,,,,,,,,,,,,,,,,,,,875.27,1426.6
2011_7,637.34,474.18,900.9300000000001,693.1500000000001,599.85,431.5,776.0799999999999,642.9399999999999,833.1999999999999,575.88,477.57,777.4300000000001,527.17,726.37,425.20000000000005,461.65999999999997,570.8399999999999,767.4699999999999,644.6700000000001,651.64,648.41,1025.2199999999998,410.12999999999994,586.09,830.5400000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,643.7799999999999,1073.9
2011_8,657.41,603.4399999999998,618.26,504.97,506.48,517.32,560.21,570.97,506.14000000000004,462.62,413.74000000000007,540.6,698.74,579.3199999999999,327.53,576.81,475.00999999999993,583.54,360.46000000000004,548.42,383.17999999999995,737.5699999999999,325.97999999999996,604.9700000000001,543.1600000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,528.3000000000001,528.35
2011_9,480.44,328.11,367.12,365.14000000000004,366.11,288.29,252.46,168.95000000000002,416.81,401.35999999999996,278.96999999999997,520.5,152.34000000000003,263.39,378.22999999999996,412.17,403.1000000000001,211.37,219.85000000000002,532.33,262.92,246.07,436.22,390.50999999999993,240.21,,,,,,,,,,,,,,,,,,,,,,,,,,,335.29,272.44
2011_10,125.05999999999999,120.1,156.42000000000002,169.29999999999998,191.44,170.14999999999998,112.22,133.26,118.23000000000002,156.45,105.27,235.92,174.25,126.85000000000001,257.57,211.34,139.61,105.28999999999999,153.41,183.68999999999997,176.51,113.22999999999999,140.13,154.79999999999998,112.87,,,,,,,,,,,,,,,,,,,,,,,,,,,153.71999999999997,137.04
