time,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,mean,obs
2016_2,76.25999999999999,62.129999999999995,43.55,61.760000000000005,51.49,137.04999999999998,98.07000000000001,61.84,117.09,58.34,113.85,106.14,103.16000000000001,17.29,95.29,53.739999999999995,45.54,93.75,66.80000000000001,64.61,76.17,108.22,43.34,56.44,73.39,,,,,,,,,,,,,,,,,,,,,,,,,,,75.41,76.09
2016_3,163.23000000000002,151.45,112.07,191.63,99.48,108.83000000000001,141.12,104.26,244.12,203.55,182.55,201.89,160.86,185.2,103.52000000000001,184.94,159.12,222.49,304.97,131.86,75.52,154.14999999999998,115.31,162.41,123.84,,,,,,,,,,,,,,,,,,,,,,,,,,,159.56,123.74000000000001
2016_4,109.57,203.64,256.94,155.45,197.20999999999998,85.60000000000001,207.27,127.89,213.49,179.23000000000002,78.5,98.29,151.32,211.64,270.09000000000003,269.91,126.02,245.98,207.96,218.54,132.18,97.0,115.79,262.15,237.68,,,,,,,,,,,,,,,,,,,,,,,,,,,178.37,168.11
2016_5,268.0,236.65,262.6,216.16,160.1,143.76999999999998,351.48999999999995,279.73,364.62,305.15,271.46000000000004,216.14,271.5,368.29,315.06,145.16,131.87,244.19,430.62,286.44,238.57,216.94,205.23,405.27,219.33999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,262.16999999999996,118.63
2016_6,462.49,745.91,845.4100000000001,385.4,491.93000000000006,400.2,341.79,458.7,312.24,485.52,342.30999999999995,309.51,387.75,692.44,673.85,400.65,242.83,213.90000000000003,531.87,728.84,683.53,555.72,400.87,650.65,234.43,,,,,,,,,,,,,,,,,,,,,,,,,,,479.12,463.79
2016_7,1242.4,762.8199999999999,691.12,674.83,839.29,1025.9,636.5699999999999,560.25,767.46,491.88,355.06,514.67,1021.83,506.71,791.3399999999999,588.1700000000001,618.47,723.12,888.86,445.83,1242.1799999999998,875.88,542.8,672.04,846.0899999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,733.02,521.4
2016_8,469.96000000000004,439.38,165.60999999999999,463.4,660.98,432.43999999999994,402.84,545.75,422.47,271.08000000000004,374.02000000000004,330.23,561.23,404.4,299.38,472.95,215.03,548.8,513.02,651.3399999999999,344.23,411.05999999999995,119.57000000000001,286.89,435.52,,,,,,,,,,,,,,,,,,,,,,,,,,,409.65,174.47
2016_9,93.94999999999999,119.17,184.65,131.26000000000002,236.99,170.32,194.89999999999998,263.31,127.96,281.58,163.79,75.64,302.5,174.88,121.33,373.32,172.39,192.19,174.87,268.43,211.83999999999997,318.32,106.1,257.36,403.13,,,,,,,,,,,,,,,,,,,,,,,,,,,204.79999999999998,160.76
2016_10,255.72000000000003,130.42,189.64000000000001,128.09,53.8,67.89,122.8,75.39,163.44000000000003,61.11,118.03999999999999,96.86,66.00999999999999,175.61,92.25,83.37,70.80000000000001,120.06,167.85,51.32,86.66,156.83,84.86,106.99000000000001,130.3,,,,,,,,,,,,,,,,,,,,,,,,,,,114.24000000000001,107.45
2016_11,32.11,39.28,28.36,48.79,41.16,72.53,35.06,38.45,49.230000000000004,50.95,34.050000000000004,49.01,57.46,44.16,48.54,81.68,31.950000000000003,40.34,51.31,48.6,64.31,37.129999999999995,35.269999999999996,33.4,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,44.56,70.96000000000001
