time,month,CRPS_6
2011_1,1,352.898272
2011_2,2,551.3380960000002
2011_3,3,513.3724159999998
2011_4,4,531.4706400000005
2011_5,5,523.0913280000004
2011_6,6,471.32761600000003
2011_7,7,345.21092800000014
2011_8,8,23.543023999999917
2011_9,9,51.528128000000066
2011_10,10,13.106687999999995
2011_11,11,15.708719999999985
2011_12,12,14.782655999999957
2012_1,1,56.87356799999988
2012_2,2,44.56835199999988
2012_3,3,32.789359999999604
2012_4,4,58.76894399999995
2012_5,5,104.23543999999985
2012_6,6,77.83145600000005
2012_7,7,82.61910399999991
2012_8,8,44.22923199999997
2012_9,9,48.892480000000006
2012_10,10,38.908896000000006
2012_11,11,14.003808000000056
2012_12,12,38.85108800000001
2013_1,1,21.743119999999976
2013_2,2,56.57019200000009
2013_3,3,74.85092799999998
2013_4,4,63.97790400000008
2013_5,5,76.07219200000003
2013_6,6,58.94595199999995
2013_7,7,56.38089600000011
2013_8,8,97.3412479999999
2013_9,9,15.908160000000013
2013_10,10,59.59156799999997
2013_11,11,31.275599999999947
2013_12,12,78.74566400000008
2014_1,1,139.40844800000002
2014_2,2,318.8738719999999
2014_3,3,266.460784
2014_4,4,164.5642879999996
2014_5,5,92.2415039999998
2014_6,6,165.530752
2014_7,7,102.33347200000004
2014_8,8,58.31809600000001
2014_9,9,20.194288000000036
2014_10,10,13.428432000000075
2014_11,11,59.00369599999999
2014_12,12,84.90022400000005
2015_1,1,130.45945600000005
2015_2,2,253.25633599999986
2015_3,3,252.28819200000012
2015_4,4,475.565344
2015_5,5,442.1112159999998
2015_6,6,368.9372159999997
2015_7,7,162.91398399999974
2015_8,8,143.91236799999984
2015_9,9,33.130847999999936
2015_10,10,14.353279999999941
2015_11,11,15.748079999999987
2015_12,12,26.890256000000008
2016_1,1,57.15086400000005
2016_2,2,42.7723840000002
2016_3,3,173.64288000000013
2016_4,4,157.04868799999994
2016_5,5,145.3151680000002
2016_6,6,146.88630400000008
2016_7,7,127.71076800000003
2016_8,8,127.88409599999991
2016_9,9,25.62020799999997
2016_10,10,19.259455999999957
2016_11,11,14.851135999999986
2016_12,12,57.78902400000003
2017_1,1,113.27099577085744
2017_2,2,44.65086120722829
2017_3,3,74.01244521337975
2017_4,4,70.26156862745131
2017_5,5,114.24239138792771
2017_6,6,98.45336024605905
2017_7,7,108.50701268742816
2017_8,8,175.44443291041898
2017_9,9,67.08806997308724
2017_10,10,34.62679354094578
2017_11,11,21.453667820069157
2017_12,12,115.46082276047682
2018_1,1,61.47740868896574
2018_2,2,50.20367550941941
2018_3,3,79.07795078815832
2018_4,4,93.08634371395613
2018_5,5,105.0014071510956
2018_6,6,54.82758169934655
2018_7,7,102.87030372933476
2018_8,8,138.3656362937331
2018_9,9,43.383429450211366
2018_10,10,21.949630911188038
2018_11,11,20.10507112648972
2018_12,12,77.6697154940407
2019_1,1,110.07003844675143
2019_2,2,255.67148404459806
2019_3,3,365.5075432525953
2019_4,4,303.7928527489428
2019_5,5,186.3119530949634
2019_6,6,191.53467896962712
2019_7,7,76.46085736255318
2019_8,8,50.80848904267587
2019_9,9,32.580115340253734
2019_10,10,17.274690503652536
2019_11,11,11.570519031141913
2019_12,12,12.670626682045373
2020_1,1,41.813129565551634
2020_2,2,92.01058054594401
2020_3,3,77.85140715109605
2020_4,4,96.88346789696283
2020_5,5,115.20712802768216
2020_6,6,94.35574778931155
2020_7,7,167.99878892733557
2020_8,8,34.42482122260675
2020_9,9,108.6809957708573
2020_10,10,133.1678662053056
2020_11,11,155.95071510957325
2020_12,12,238.4160015378701
