time,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,mean,obs
2011_1,308.51,554.24,382.39,285.70000000000005,420.19000000000005,326.19,408.7099999999999,407.41999999999996,307.39,469.89,361.03999999999996,657.3199999999999,403.77,378.58000000000004,398.73,402.77,283.06,292.61,243.43,464.59000000000003,332.14,394.11,294.48,574.12,341.43,,,,,,,,,,,,,,,,,,,,,,,,,,,387.73,792.35
2011_2,490.97,881.01,701.22,854.51,554.52,631.52,807.5799999999999,757.3900000000001,715.35,906.1500000000001,734.0,958.28,636.4399999999999,749.95,623.11,1054.44,469.5,546.1099999999999,770.0400000000001,618.6800000000001,954.25,539.4100000000001,718.5100000000001,599.21,632.43,,,,,,,,,,,,,,,,,,,,,,,,,,,716.23,1353.55
2011_3,969.55,839.91,1067.16,907.7,781.83,923.0600000000001,1216.45,1052.1799999999998,555.47,835.7,811.21,922.21,1373.83,745.0799999999999,625.4300000000001,1019.06,805.11,698.25,1258.89,1079.62,837.75,925.55,500.91999999999996,1513.2,928.7699999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,927.76,1570.21
2011_4,1050.75,940.58,1679.8,1366.21,772.0799999999999,1409.64,934.5300000000001,1445.34,925.67,902.02,907.17,1342.65,834.9300000000001,786.69,861.94,681.37,1076.54,954.99,952.2599999999999,933.37,818.01,849.41,1132.07,910.58,1008.0400000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,1019.0600000000001,1675.71
2011_5,1133.17,827.03,1156.4099999999999,1028.24,720.6600000000001,930.2699999999999,921.97,621.37,925.23,1248.13,758.71,853.11,1340.4499999999998,525.82,896.3,711.6899999999999,784.25,788.37,553.38,1068.24,1125.34,849.2300000000001,926.98,1102.7299999999998,1097.02,,,,,,,,,,,,,,,,,,,,,,,,,,,915.77,1556.3200000000002
2011_6,610.22,550.85,712.94,650.4399999999999,1016.9,958.6800000000001,755.67,836.78,1009.4599999999999,925.38,1179.97,1166.72,993.82,859.93,806.5699999999999,996.1700000000001,1068.05,970.6,1449.29,911.3700000000001,1006.9499999999999,828.35,773.0199999999999,832.46,794.27,,,,,,,,,,,,,,,,,,,,,,,,,,,906.6,1482.76
2011_7,661.94,480.53000000000003,918.46,710.45,604.94,450.44,793.2099999999999,662.06,840.17,600.01,486.46,810.6800000000001,541.3499999999999,738.46,435.50000000000006,469.77,577.4599999999999,783.8299999999999,652.5100000000001,657.98,664.13,1041.7699999999998,425.97999999999996,597.71,844.1400000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,657.9299999999998,1092.13
2011_8,666.29,636.3399999999998,620.96,525.26,534.34,532.95,569.4200000000001,599.2900000000001,524.63,470.3,418.70000000000005,549.15,719.21,590.41,344.79999999999995,588.31,496.4699999999999,616.8199999999999,380.31000000000006,557.68,396.62999999999994,761.81,342.19999999999993,617.1300000000001,551.71,,,,,,,,,,,,,,,,,,,,,,,,,,,544.47,538.65
2011_9,511.88,371.67,375.61,398.77000000000004,406.0,336.58000000000004,295.1,206.54000000000002,430.54,423.68999999999994,294.92999999999995,542.88,172.50000000000003,289.53,403.48999999999995,441.38,424.80000000000007,238.04,242.38000000000002,584.37,304.37,249.23999999999998,480.52000000000004,413.86999999999995,267.12,,,,,,,,,,,,,,,,,,,,,,,,,,,364.20000000000005,275.21999999999997
2011_10,195.0,179.34,244.65000000000003,212.65999999999997,272.92,233.80999999999997,230.57,227.96999999999997,163.00000000000003,191.67,181.63,254.63,264.58000000000004,204.65,304.03999999999996,228.78,222.65000000000003,160.27999999999997,223.86,229.00999999999996,225.85,145.48999999999998,236.82,231.82,159.03,,,,,,,,,,,,,,,,,,,,,,,,,,,216.97999999999996,202.57
