time,month,CRPS_5
2011_1,1,58.03083200000005
2011_2,2,241.3842719999999
2011_3,3,590.1353279999998
2011_4,4,733.940928
2011_5,5,671.5127360000002
2011_6,6,600.3249759999998
2011_7,7,484.2200160000001
2011_8,8,41.950831999999956
2011_9,9,55.07908799999996
2011_10,10,65.52375999999997
2011_11,11,127.35622400000004
2011_12,12,54.98672000000002
2012_1,1,61.5913600000001
2012_2,2,59.96331200000002
2012_3,3,32.02731200000021
2012_4,4,94.33593600000013
2012_5,5,201.50225599999993
2012_6,6,162.24167999999986
2012_7,7,166.94883200000015
2012_8,8,66.09728000000011
2012_9,9,27.261264000000004
2012_10,10,19.905727999999968
2012_11,11,37.81118400000004
2012_12,12,38.41886400000003
2013_1,1,34.21574400000009
2013_2,2,92.76910400000006
2013_3,3,106.0775840000003
2013_4,4,86.08502399999999
2013_5,5,66.99006400000023
2013_6,6,58.47091200000018
2013_7,7,60.79807999999984
2013_8,8,64.60665599999996
2013_9,9,12.044239999999931
2013_10,10,103.70187200000004
2013_11,11,76.65283199999999
2013_12,12,120.30428799999996
2014_1,1,166.69414399999994
2014_2,2,164.68433599999994
2014_3,3,229.30748799999998
2014_4,4,88.05247999999999
2014_5,5,54.33665600000006
2014_6,6,62.94443199999971
2014_7,7,38.62768000000008
2014_8,8,19.670975999999875
2014_9,9,17.65908799999999
2014_10,10,18.88716799999995
2014_11,11,120.11012800000006
2014_12,12,111.06337599999986
2015_1,1,174.41836799999993
2015_2,2,181.802976
2015_3,3,109.85279999999993
2015_4,4,270.68649599999986
2015_5,5,285.56673599999993
2015_6,6,271.15129599999983
2015_7,7,75.78624000000016
2015_8,8,100.68326400000005
2015_9,9,109.38388799999986
2015_10,10,28.594159999999874
2015_11,11,95.63124799999994
2015_12,12,95.46251200000002
2016_1,1,89.56887999999994
2016_2,2,85.20187199999998
2016_3,3,35.45016000000017
2016_4,4,43.777600000000035
2016_5,5,80.8348800000001
2016_6,6,56.04375999999995
2016_7,7,57.57718400000002
2016_8,8,78.13065600000014
2016_9,9,29.24219200000004
2016_10,10,31.71212799999992
2016_11,11,62.33358399999999
2016_12,12,86.346464
2017_1,1,142.88777393310258
2017_2,2,153.48056132256826
2017_3,3,43.72166474432899
2017_4,4,80.16271434063823
2017_5,5,37.88431372548985
2017_6,6,50.582487504806224
2017_7,7,43.652868127643316
2017_8,8,105.31970780469041
2017_9,9,102.31645136485965
2017_10,10,115.40120722798933
2017_11,11,90.11136101499424
2017_12,12,21.780334486735903
2018_1,1,52.317931564782796
2018_2,2,47.79041906958847
2018_3,3,48.200388312187584
2018_4,4,136.0458861976162
2018_5,5,131.27740868896598
2018_6,6,149.6340445982318
2018_7,7,214.2085890042291
2018_8,8,206.36239138792791
2018_9,9,33.877920030757224
2018_10,10,26.30373317954627
2018_11,11,70.75667435601687
2018_12,12,114.49238369857738
2019_1,1,164.31118800461354
2019_2,2,204.1760015378701
2019_3,3,191.7019992310648
2019_4,4,213.32264513648602
2019_5,5,96.5696116878126
2019_6,6,81.77925413302586
2019_7,7,47.61073433294874
2019_8,8,41.86498654363699
2019_9,9,28.652606689734675
2019_10,10,68.59424452133786
2019_11,11,39.44276816609001
2019_12,12,88.54906574394471
2020_1,1,87.94864282968095
2020_2,2,121.12761630142242
2020_3,3,68.24732026143808
2020_4,4,192.2954978854288
2020_5,5,264.6801384083041
2020_6,6,216.40035371011135
2020_7,7,334.23766628219914
2020_8,8,114.32512879661685
2020_9,9,89.36138792772007
2020_10,10,138.3008688965783
2020_11,11,162.423629373318
2020_12,12,232.5064282968088
