time,month,CRPS_2
2011_1,1,5.029743999999987
2011_2,2,21.661023999999983
2011_3,3,35.640031999999934
2011_4,4,110.26718399999996
2011_5,5,212.345792
2011_6,6,600.2068319999998
2011_7,7,510.7705760000001
2011_8,8,44.53043199999999
2011_9,9,25.537824000000022
2011_10,10,13.878879999999992
2011_11,11,41.73708799999999
2011_12,12,40.755184000000014
2012_1,1,46.896287999999984
2012_2,2,26.492015999999982
2012_3,3,15.213039999999996
2012_4,4,15.344496000000106
2012_5,5,46.548191999999936
2012_6,6,60.89963200000008
2012_7,7,200.54233600000003
2012_8,8,67.73318400000004
2012_9,9,34.20536000000003
2012_10,10,11.627040000000001
2012_11,11,7.705536000000013
2012_12,12,8.362208000000003
2013_1,1,7.66521599999999
2013_2,2,31.59851200000002
2013_3,3,17.8712
2013_4,4,11.26528
2013_5,5,39.42280000000001
2013_6,6,104.53254400000006
2013_7,7,80.22457600000006
2013_8,8,26.691600000000086
2013_9,9,24.58195200000001
2013_10,10,32.32403200000002
2013_11,11,7.771039999999978
2013_12,12,27.053920000000005
2014_1,1,36.82864000000002
2014_2,2,49.27011199999998
2014_3,3,49.25304000000003
2014_4,4,46.74648
2014_5,5,70.43038400000003
2014_6,6,125.07710399999993
2014_7,7,35.19243200000007
2014_8,8,23.204351999999858
2014_9,9,59.397647999999954
2014_10,10,44.82440000000002
2014_11,11,17.817104000000008
2014_12,12,28.652784000000015
2015_1,1,39.83899199999999
2015_2,2,52.434192000000024
2015_3,3,28.912640000000014
2015_4,4,96.017296
2015_5,5,77.52196800000002
2015_6,6,126.80984000000015
2015_7,7,41.70784000000009
2015_8,8,99.9469599999999
2015_9,9,56.714463999999964
2015_10,10,33.676351999999994
2015_11,11,18.97804799999996
2015_12,12,49.439312
2016_1,1,21.20168
2016_2,2,16.626896000000013
2016_3,3,42.405615999999974
2016_4,4,27.387983999999975
2016_5,5,126.18673600000008
2016_6,6,53.60740799999991
2016_7,7,39.06579199999993
2016_8,8,95.11921599999995
2016_9,9,18.405616000000002
2016_10,10,14.013216000000014
2016_11,11,6.4798080000000216
2016_12,12,9.098928
2017_1,1,19.06726643598614
2017_2,2,42.70384851980006
2017_3,3,25.116312956555156
2017_4,4,63.908819684736685
2017_5,5,90.13137639369472
2017_6,6,90.51957324106111
2017_7,7,113.72457900807392
2017_8,8,64.42297962322185
2017_9,9,40.797562475970715
2017_10,10,44.3673394848135
2017_11,11,21.48543252595154
2017_12,12,20.634067666282167
2018_1,1,14.510730488273751
2018_2,2,8.724209919261842
2018_3,3,11.850330642060701
2018_4,4,82.12063437139565
2018_5,5,28.5924413687042
2018_6,6,27.549896193771573
2018_7,7,110.43690888119934
2018_8,8,154.66612456747396
2018_9,9,53.04835832372159
2018_10,10,25.235290272971937
2018_11,11,8.038508266051505
2018_12,12,38.13212995001922
2019_1,1,40.25302960399846
2019_2,2,58.58497500961161
2019_3,3,26.884579008073818
2019_4,4,53.84023068050753
2019_5,5,34.078888888888876
2019_6,6,71.11915801614767
2019_7,7,32.82153018069975
2019_8,8,36.54103421760857
2019_9,9,21.967151095732362
2019_10,10,41.97018069973083
2019_11,11,10.586359092656686
2019_12,12,7.9471049596309165
2020_1,1,16.771476355247984
2020_2,2,38.88446751249518
2020_3,3,105.09858131487888
2020_4,4,14.92842368319872
2020_5,5,33.53014609765466
2020_6,6,35.851334102268424
2020_7,7,351.37900422914254
2020_8,8,196.48967704728955
2020_9,9,43.04648212226065
2020_10,10,16.43546712802766
2020_11,11,16.21920415224915
2020_12,12,40.39465974625142
