time,month,CRPS_4
2011_1,1,27.472816000000023
2011_2,2,51.144800000000025
2011_3,3,260.91996800000004
2011_4,4,658.5662079999997
2011_5,5,675.4028000000002
2011_6,6,615.1993599999995
2011_7,7,482.64278399999984
2011_8,8,56.491247999999985
2011_9,9,37.47887999999993
2011_10,10,25.42158400000005
2011_11,11,113.064784
2011_12,12,85.13971200000003
2012_1,1,33.099631999999986
2012_2,2,27.753199999999957
2012_3,3,56.29193600000003
2012_4,4,48.48792
2012_5,5,185.75732799999986
2012_6,6,179.77916799999988
2012_7,7,180.95329600000002
2012_8,8,64.25847999999993
2012_9,9,36.06659199999997
2012_10,10,12.123408000000083
2012_11,11,14.798015999999976
2012_12,12,26.039552
2013_1,1,40.15443199999994
2013_2,2,52.191424
2013_3,3,37.432512000000095
2013_4,4,152.33822399999997
2013_5,5,55.532479999999936
2013_6,6,69.89267200000012
2013_7,7,58.92828799999995
2013_8,8,49.695631999999854
2013_9,9,14.626208000000002
2013_10,10,84.56913599999999
2013_11,11,37.02476800000003
2013_12,12,79.71387199999998
2014_1,1,124.1643520000001
2014_2,2,128.15528000000012
2014_3,3,149.81131200000016
2014_4,4,175.28649600000006
2014_5,5,61.981280000000055
2014_6,6,75.30603199999985
2014_7,7,42.02896000000008
2014_8,8,24.411471999999947
2014_9,9,21.32783999999996
2014_10,10,12.91635200000001
2014_11,11,70.42833599999994
2014_12,12,100.23247999999995
2015_1,1,91.63887999999994
2015_2,2,134.298992
2015_3,3,103.69257600000003
2015_4,4,191.92169600000014
2015_5,5,190.6621280000003
2015_6,6,270.04652800000014
2015_7,7,102.23315200000017
2015_8,8,70.79823999999994
2015_9,9,55.855264000000034
2015_10,10,22.505119999999966
2015_11,11,51.171375999999995
2015_12,12,106.99785600000013
2016_1,1,79.39945599999989
2016_2,2,43.59294399999992
2016_3,3,120.61865599999996
2016_4,4,51.93200000000016
2016_5,5,51.050943999999944
2016_6,6,59.69008000000012
2016_7,7,52.868096000000065
2016_8,8,93.83974399999987
2016_9,9,19.198031999999984
2016_10,10,14.57619199999995
2016_11,11,22.339519999999975
2016_12,12,70.62820800000007
2017_1,1,83.95216839677047
2017_2,2,107.82624759707807
2017_3,3,119.99858900422934
2017_4,4,44.982791234140635
2017_5,5,69.5872664359864
2017_6,6,56.45436370626662
2017_7,7,49.94085351787754
2017_8,8,89.58342560553608
2017_9,9,74.43391387927716
2017_10,10,95.56865436370617
2017_11,11,75.23322183775466
2017_12,12,44.162948865820844
2018_1,1,16.3660438292964
2018_2,2,113.67726259131106
2018_3,3,27.12512879661675
2018_4,4,50.15623221837757
2018_5,5,96.54825836216845
2018_6,6,101.57409842368321
2018_7,7,209.22316801230326
2018_8,8,213.01407535563234
2018_9,9,53.89063052672044
2018_10,10,16.809834678969686
2018_11,11,38.35151480199936
2018_12,12,80.55636293733174
2019_1,1,92.72715109573238
2019_2,2,166.32838139177255
2019_3,3,117.37493656286068
2019_4,4,155.3421453287196
2019_5,5,129.11892733564008
2019_6,6,100.12608996539797
2019_7,7,45.086559015763186
2019_8,8,43.18405997693209
2019_9,9,27.113291041907104
2019_10,10,60.36762399077284
2019_11,11,13.776955017301006
2019_12,12,43.66461361014995
2020_1,1,100.24809304113802
2020_2,2,88.09282968089192
2020_3,3,120.05803152633598
2020_4,4,32.78970780469059
2020_5,5,224.8900000000001
2020_6,6,257.87869281045755
2020_7,7,339.46131872356784
2020_8,8,136.92371780084562
2020_9,9,58.98054594386773
2020_10,10,88.09841983852371
2020_11,11,94.10118800461363
2020_12,12,152.00197616301426
