time,month,CRPS_1
2011_1,1,6.541711999999999
2011_2,2,9.849791999999997
2011_3,3,8.581184000000004
2011_4,4,80.63561600000001
2011_5,5,68.619488
2011_6,6,223.98984000000002
2011_7,7,344.949872
2011_8,8,21.55924799999992
2011_9,9,23.254719999999963
2011_10,10,13.784607999999995
2011_11,11,9.954495999999997
2011_12,12,1.9057599999999963
2012_1,1,2.6948319999999986
2012_2,2,11.128944000000004
2012_3,3,7.501455999999996
2012_4,4,18.489344000000013
2012_5,5,5.226768000000003
2012_6,6,24.193040000000003
2012_7,7,42.62084800000005
2012_8,8,46.946303999999984
2012_9,9,27.562304000000026
2012_10,10,14.022528000000014
2012_11,11,4.986544000000007
2012_12,12,28.469504
2013_1,1,9.789792000000002
2013_2,2,2.9205760000000076
2013_3,3,6.061120000000001
2013_4,4,7.045808000000006
2013_5,5,12.562271999999993
2013_6,6,33.15891199999997
2013_7,7,44.76446400000013
2013_8,8,27.323952000000013
2013_9,9,26.45183999999996
2013_10,10,31.944799999999983
2013_11,11,11.592720000000007
2013_12,12,4.824992000000005
2014_1,1,4.1796959999999945
2014_2,2,6.639631999999988
2014_3,3,7.942256000000009
2014_4,4,9.000847999999978
2014_5,5,23.604032000000007
2014_6,6,18.71547200000002
2014_7,7,130.02884799999995
2014_8,8,66.71039999999999
2014_9,9,13.50369600000003
2014_10,10,67.72879999999998
2014_11,11,4.939072000000003
2014_12,12,1.6843839999999997
2015_1,1,2.448272000000001
2015_2,2,4.953072000000004
2015_3,3,8.410687999999988
2015_4,4,18.638224000000022
2015_5,5,38.355632
2015_6,6,28.593535999999965
2015_7,7,46.911392000000134
2015_8,8,63.59188799999999
2015_9,9,79.18704000000002
2015_10,10,8.678239999999985
2015_11,11,14.69304000000001
2015_12,12,3.665616000000009
2016_1,1,11.100144
2016_2,2,21.255647999999994
2016_3,3,29.124448000000015
2016_4,4,15.033407999999998
2016_5,5,28.262800000000027
2016_6,6,57.889696
2016_7,7,34.952623999999815
2016_8,8,67.22265599999997
2016_9,9,56.26414399999996
2016_10,10,12.926879999999997
2016_11,11,8.302383999999993
2016_12,12,32.90657600000001
2017_1,1,1.7515455594002334
2017_2,2,3.3184851980007757
2017_3,3,8.13673971549404
2017_4,4,6.421114955786242
2017_5,5,35.29669742406766
2017_6,6,33.65024221453289
2017_7,7,28.115813148788888
2017_8,8,44.00306420607454
2017_9,9,36.729169550173026
2017_10,10,34.88943483275661
2017_11,11,5.259061899269502
2017_12,12,6.085401768550556
2018_1,1,2.51285659361784
2018_2,2,3.774409842368332
2018_3,3,5.039369473279505
2018_4,4,20.895859284890367
2018_5,5,69.30612456747406
2018_6,6,22.504794309880808
2018_7,7,51.543475586312994
2018_8,8,88.3442483660132
2018_9,9,17.70229527104958
2018_10,10,19.523371780084602
2018_11,11,13.795655517108777
2018_12,12,13.397112648981155
2019_1,1,12.116478277585546
2019_2,2,8.77269127258748
2019_3,3,5.214332948865831
2019_4,4,7.119427143406352
2019_5,5,22.811295655517092
2019_6,6,25.44297962322188
2019_7,7,35.27266051518653
2019_8,8,48.11928489042672
2019_9,9,32.64574778931185
2019_10,10,56.08331795463283
2019_11,11,27.96930795847753
2019_12,12,1.5822529796232243
2020_1,1,16.490903498654344
2020_2,2,16.88641676278353
2020_3,3,23.482429834678946
2020_4,4,15.84211072664362
2020_5,5,24.267097270280686
2020_6,6,23.350084582852773
2020_7,7,33.443429450211404
2020_8,8,50.70923490965009
2020_9,9,41.975767012687506
2020_10,10,18.972349096501365
2020_11,11,6.109650134563633
2020_12,12,1.0151326412918076
