time,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,mean,obs
2011_1,91.96,97.74,57.949999999999996,81.93,74.5,87.25,48.64,98.00999999999999,47.480000000000004,60.51,60.660000000000004,84.32,78.06,95.24000000000001,104.37,97.89,37.27,92.18,33.12,85.21000000000001,97.30999999999999,108.5,43.06,84.31,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,76.06,84.81
2011_2,197.74,166.78,177.15,161.01,126.14000000000001,210.88,156.76999999999998,188.63,171.42000000000002,121.92,124.19,120.22999999999999,216.51999999999998,207.04000000000002,108.14,135.58,94.91,130.58999999999997,380.25,202.79000000000002,155.78,131.34,124.94999999999999,163.82,143.3,,,,,,,,,,,,,,,,,,,,,,,,,,,164.74,251.18999999999997
2011_3,217.0,174.87,340.41,214.39999999999998,172.31,230.82999999999998,173.04,204.76999999999998,103.06,158.77,103.92,177.2,161.17000000000002,227.74,150.16000000000003,267.85,177.33,164.75,184.06,234.79999999999998,220.92000000000002,129.1,243.13,245.66,280.34,,,,,,,,,,,,,,,,,,,,,,,,,,,198.35,331.36
2011_4,328.18000000000006,261.6,611.9300000000001,415.81000000000006,281.64,230.07,288.0,276.45,245.29999999999995,274.26,233.14,260.36,191.09,250.75000000000003,214.22999999999996,316.3,316.35,292.33000000000004,292.79999999999995,300.9,358.21,223.88,232.25,356.21000000000004,235.9,,,,,,,,,,,,,,,,,,,,,,,,,,,291.51,707.54
2011_5,466.62,333.94,565.1,440.35,460.27,477.65,674.21,275.24,596.04,725.56,484.37,489.89000000000004,906.24,195.97,547.28,473.0,365.69,351.21000000000004,233.49,449.47999999999996,408.72999999999996,460.34000000000003,813.67,669.38,733.27,,,,,,,,,,,,,,,,,,,,,,,,,,,503.87,1102.3600000000001
2011_6,346.76,305.23,453.95000000000005,327.36,622.17,530.6,506.7,551.41,609.52,531.55,721.8199999999999,923.5999999999999,610.6,607.43,639.12,644.47,733.9100000000001,771.95,1047.67,548.11,638.08,508.54,359.76,641.01,509.52,,,,,,,,,,,,,,,,,,,,,,,,,,,587.65,1238.85
2011_7,528.44,412.01,737.21,634.4000000000001,534.79,388.44,722.89,460.84,751.51,469.33,410.34,727.6600000000001,480.53999999999996,675.6,312.61,392.13,506.78999999999996,621.56,568.09,518.02,526.06,932.17,378.62999999999994,541.71,758.48,,,,,,,,,,,,,,,,,,,,,,,,,,,559.5899999999999,968.1700000000001
2011_8,598.91,583.2599999999999,591.85,476.16,442.29,466.04,519.61,534.1600000000001,469.14000000000004,432.15000000000003,363.53000000000003,498.25,646.76,521.39,272.28,516.51,416.3299999999999,488.37,339.11,498.98,343.19,699.18,282.14,539.0600000000001,522.95,,,,,,,,,,,,,,,,,,,,,,,,,,,482.5,453.96
2011_9,427.94,295.2,344.05,343.17,343.73,256.1,227.66000000000003,137.98,370.0,320.46999999999997,250.55999999999997,485.18,125.60000000000001,239.68,345.82,358.61,338.20000000000005,179.41,197.11,513.86,239.07999999999998,196.9,384.12,349.31999999999994,225.02,,,,,,,,,,,,,,,,,,,,,,,,,,,299.78,243.91
2011_10,72.52,91.44,83.09,147.94,136.0,82.41,68.36,54.41,66.59,98.52,74.56,215.48,70.71,79.67,199.52,118.19,114.09,63.14,96.4,132.48,107.84,80.07,106.65,103.24,56.809999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,100.78999999999999,123.95999999999998
2011_11,88.21000000000001,91.53,70.99,110.44,137.89,96.74000000000001,124.94999999999999,185.81,122.83000000000001,156.63,159.47,169.56,116.22,95.86999999999999,148.76,122.64,87.48,83.32,108.46,108.34,141.73000000000002,63.489999999999995,70.35,140.34,68.87,,,,,,,,,,,,,,,,,,,,,,,,,,,114.80000000000001,84.68999999999998
2011_12,28.98,66.4,107.72,54.56999999999999,38.72,106.98,62.21,45.05,45.51,67.73,49.129999999999995,64.02000000000001,68.03,67.85,90.14000000000001,50.0,121.44,68.39,76.22999999999999,82.17999999999999,89.36,74.13,71.97,97.59,89.49,,,,,,,,,,,,,,,,,,,,,,,,,,,71.36,31.31
2012_1,81.68,43.87,103.44999999999999,93.44,191.73000000000002,108.00999999999999,91.0,105.94,84.33,122.63,149.78,64.97,143.54000000000002,170.55,111.80000000000001,79.02000000000001,107.5,100.85999999999999,60.07000000000001,113.06,95.81,83.9,93.18,95.14,87.53999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,103.36,78.61
2012_2,175.09,154.05,148.78000000000003,138.95000000000002,101.07,132.06,198.3,179.45999999999998,73.3,110.49,147.38,70.82,169.49,149.63,152.95,129.57,168.17,150.07,179.2,161.28,95.00999999999999,167.39,189.76999999999998,108.57000000000001,172.09999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,144.95,181.64
2012_3,120.07,158.4,229.76000000000002,172.54000000000002,144.5,162.73000000000002,297.85,218.94,224.88,112.30999999999999,204.85,230.41000000000003,175.42000000000002,209.95,167.75000000000003,142.07999999999998,211.39999999999998,194.85999999999999,152.56,251.75,157.64999999999998,163.68,190.38,216.41,149.66000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,186.47,229.44000000000003
2012_4,149.53,177.59,283.73,508.31,291.32,326.02,450.7,355.83,322.76,256.94,280.3,142.12,516.49,232.45,387.29999999999995,321.06,191.18,396.12,202.31,322.42,248.84000000000003,213.64,343.58,505.6600000000001,268.53999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,307.78999999999996,244.5
2012_5,649.3199999999999,322.47,239.20000000000002,288.89,545.62,463.87,410.95000000000005,668.9300000000001,345.96,338.55,327.13,529.0899999999999,259.31,385.47,551.55,353.75,459.65,195.81,225.31,286.56,371.36,642.1700000000001,395.35,148.49,619.79,,,,,,,,,,,,,,,,,,,,,,,,,,,401.03999999999996,456.54
2012_6,281.21,332.91,602.69,484.76,527.72,616.59,506.72,775.6800000000001,658.23,710.87,719.97,481.53,487.65000000000003,632.11,982.34,819.81,677.8,409.08,470.74,545.99,954.5899999999999,552.22,472.15999999999997,650.8100000000001,760.76,,,,,,,,,,,,,,,,,,,,,,,,,,,604.57,731.06
