time,month,CRPS_5
2011_1,1,117.11211199999994
2011_2,2,329.66689599999995
2011_3,3,556.7923360000001
2011_4,4,584.053024
2011_5,5,523.6571840000004
2011_6,6,444.0737599999997
2011_7,7,342.22166400000015
2011_8,8,23.906815999999992
2011_9,9,39.26785600000012
2011_10,10,10.864368000000017
2011_11,11,35.206335999999936
2011_12,12,9.721104000000004
2012_1,1,14.400239999999904
2012_2,2,24.112015999999976
2012_3,3,32.789567999999974
2012_4,4,55.43166400000024
2012_5,5,102.6634400000001
2012_6,6,71.02987199999986
2012_7,7,75.95064000000005
2012_8,8,40.34734399999992
2012_9,9,47.03273599999995
2012_10,10,45.76856000000002
2012_11,11,20.09955199999997
2012_12,12,20.28191999999995
2013_1,1,14.777296000000035
2013_2,2,25.142303999999996
2013_3,3,96.4740799999999
2013_4,4,55.232832
2013_5,5,68.51099199999993
2013_6,6,60.850864000000215
2013_7,7,59.49769599999986
2013_8,8,89.14355199999997
2013_9,9,24.07947199999998
2013_10,10,34.57342399999997
2013_11,11,10.478256000000037
2013_12,12,41.585776000000024
2014_1,1,90.72511999999996
2014_2,2,95.80563200000006
2014_3,3,242.59359999999984
2014_4,4,172.74624000000017
2014_5,5,132.03211200000004
2014_6,6,151.6281919999997
2014_7,7,99.2844959999999
2014_8,8,53.09558399999999
2014_9,9,28.725744000000113
2014_10,10,30.065680000000047
2014_11,11,41.465376000000056
2014_12,12,35.81262399999998
2015_1,1,100.68878399999994
2015_2,2,113.37831999999995
2015_3,3,122.35120000000009
2015_4,4,388.94158399999975
2015_5,5,432.277952
2015_6,6,434.36507200000017
2015_7,7,165.4237599999998
2015_8,8,120.20057599999997
2015_9,9,42.14953599999997
2015_10,10,34.786736000000005
2015_11,11,14.54681600000001
2015_12,12,22.22166400000002
2016_1,1,27.659535999999996
2016_2,2,36.333311999999836
2016_3,3,46.09310399999971
2016_4,4,88.99641600000018
2016_5,5,177.8400319999999
2016_6,6,128.81412799999978
2016_7,7,153.8379040000001
2016_8,8,120.4992479999998
2016_9,9,23.138767999999956
2016_10,10,15.973088000000029
2016_11,11,8.329968000000036
2016_12,12,17.77454399999996
2017_1,1,80.42567089580926
2017_2,2,92.1210649750096
2017_3,3,39.23695117262626
2017_4,4,60.93343329488644
2017_5,5,101.45533640907323
2017_6,6,88.0554901960785
2017_7,7,108.75782775855421
2017_8,8,166.07848519800092
2017_9,9,63.53353710111488
2017_10,10,47.81307189542479
2017_11,11,16.48876585928487
2017_12,12,34.614156093810195
2018_1,1,115.77421376393691
2018_2,2,90.43006920415215
2018_3,3,51.306059207996796
2018_4,4,81.02995770857405
2018_5,5,84.10603998462136
2018_6,6,59.572422145328304
2018_7,7,96.08488658208367
2018_8,8,155.99454825067266
2018_9,9,49.9465397923875
2018_10,10,26.168408304498236
2018_11,11,10.37807766243747
2018_12,12,25.755213379469378
2019_1,1,89.67825451749334
2019_2,2,122.04397923875436
2019_3,3,224.61881584006133
2019_4,4,338.6577239523261
2019_5,5,218.2017147251059
2019_6,6,208.18519415609373
2019_7,7,76.03271818531304
2019_8,8,55.81537485582459
2019_9,9,29.232572087658653
2019_10,10,10.07470203767786
2019_11,11,29.818581314878855
2019_12,12,12.302879661668634
2020_1,1,17.87477893118031
2020_2,2,55.820865051903176
2020_3,3,80.95569011918472
2020_4,4,90.21723183390979
2020_5,5,144.0304152249136
2020_6,6,92.35165705497869
2020_7,7,175.07149173394845
2020_8,8,40.19584390618988
2020_9,9,81.5082314494426
2020_10,10,71.80678969627064
2020_11,11,89.09344867358706
2020_12,12,159.78647058823532
